Week,Toyota: (Spain),Tesla: (Spain),BMW: (Spain),Hyundai: (Spain),Volvo: (Spain)
2020-05-24,31,7,63,18,11
2020-05-31,36,8,65,21,13
2020-06-07,42,6,73,24,16
2020-06-14,50,10,83,33,16
2020-06-21,50,9,86,28,18
2020-06-28,54,9,84,28,16
2020-07-05,50,7,83,26,16
2020-07-12,48,7,78,27,17
2020-07-19,50,8,78,27,17
2020-07-26,49,7,81,23,19
2020-08-02,47,7,78,22,22
2020-08-09,48,7,77,23,18
2020-08-16,48,8,78,24,17
2020-08-23,47,7,77,24,17
2020-08-30,45,6,69,23,16
2020-09-06,48,6,74,22,16
2020-09-13,45,4,74,24,16
2020-09-20,45,6,68,22,14
2020-09-27,42,6,64,21,13
2020-10-04,37,6,65,21,15
2020-10-11,38,7,75,24,14
2020-10-18,39,5,76,22,13
2020-10-25,36,5,78,22,12
2020-11-01,32,3,71,17,12
2020-11-08,38,4,77,21,14
2020-11-15,42,4,75,25,12
2020-11-22,34,3,71,20,12
2020-11-29,32,3,69,22,14
2020-12-06,36,4,75,22,15
2020-12-13,37,4,74,20,14
2020-12-20,36,4,76,20,13
2020-12-27,37,5,82,20,15
2021-01-03,37,5,70,18,12
2021-01-10,44,5,69,19,13
2021-01-17,43,5,71,20,13
2021-01-24,39,7,71,20,13
2021-01-31,40,5,75,19,16
2021-02-07,41,7,74,21,16
2021-02-14,42,9,81,22,17
2021-02-21,43,9,79,27,19
2021-02-28,44,7,81,26,19
2021-03-07,44,7,81,26,19
2021-03-14,44,7,78,23,19
2021-03-21,41,7,82,23,19
2021-03-28,42,7,84,22,18
2021-04-04,44,9,78,22,19
2021-04-11,42,11,84,26,18
2021-04-18,39,7,77,24,17
2021-04-25,41,8,76,21,18
2021-05-02,37,8,72,23,17
2021-05-09,40,13,74,25,18
2021-05-16,38,16,76,24,18
2021-05-23,37,12,75,23,18
2021-05-30,38,12,77,23,17
2021-06-06,37,12,76,25,17
2021-06-13,39,10,71,24,21
2021-06-20,42,8,77,23,18
2021-06-27,41,9,73,26,17
2021-07-04,44,9,81,26,19
2021-07-11,44,9,78,26,20
2021-07-18,45,7,80,25,20
2021-07-25,43,9,81,25,19
2021-08-01,46,9,82,27,19
2021-08-08,45,9,86,28,19
2021-08-15,49,8,85,24,20
2021-08-22,50,8,89,27,21
2021-08-29,46,7,80,27,18
2021-09-05,42,8,85,26,18
2021-09-12,45,8,75,26,18
2021-09-19,41,5,65,23,18
2021-09-26,39,6,69,24,18
2021-10-03,36,6,68,24,18
2021-10-10,42,7,80,25,19
2021-10-17,44,7,75,25,18
2021-10-24,39,5,70,29,18
2021-10-31,43,5,72,25,20
2021-11-07,46,6,74,25,19
2021-11-14,43,6,71,24,18
2021-11-21,37,5,67,22,16
2021-11-28,36,5,66,23,16
2021-12-05,38,4,70,21,17
2021-12-12,35,4,66,21,16
2021-12-19,35,6,69,19,16
2021-12-26,40,4,80,22,13
2022-01-02,45,5,78,22,12
2022-01-09,46,7,77,24,14
2022-01-16,48,8,80,25,18
2022-01-23,53,7,82,27,15
2022-01-30,50,4,78,26,15
2022-02-06,52,4,80,24,18
2022-02-13,53,4,83,26,19
2022-02-20,50,6,77,24,17
2022-02-27,47,6,73,22,18
2022-03-06,48,8,76,25,16
2022-03-13,47,8,72,26,16
2022-03-20,43,11,75,25,16
2022-03-27,44,8,74,22,16
2022-04-03,40,10,77,22,16
2022-04-10,40,10,75,24,16
2022-04-17,43,9,75,24,17
2022-04-24,43,9,73,28,16
2022-05-01,45,8,75,27,15
2022-05-08,44,8,72,26,16
2022-05-15,44,8,72,26,16
2022-05-22,44,8,64,23,17
2022-05-29,44,7,73,27,17
2022-06-05,44,9,72,24,16
2022-06-12,46,8,73,25,17
2022-06-19,46,8,75,24,16
2022-06-26,45,8,78,25,17
2022-07-03,44,8,74,26,17
2022-07-10,42,7,78,24,17
2022-07-17,48,7,76,26,18
2022-07-24,50,7,85,26,19
2022-07-31,48,7,80,27,19
2022-08-07,47,7,79,29,18
2022-08-14,52,6,84,28,18
2022-08-21,50,7,78,27,18
2022-08-28,45,6,77,29,19
2022-09-04,45,6,74,26,17
2022-09-11,45,6,69,27,16
2022-09-18,46,7,71,28,17
2022-09-25,48,10,77,27,18
2022-10-02,47,14,74,26,16
2022-10-09,47,13,77,25,15
2022-10-16,45,13,70,28,16
2022-10-23,47,12,72,25,16
2022-10-30,47,13,76,26,17
2022-11-06,45,13,73,26,17
2022-11-13,49,18,74,27,16
2022-11-20,41,10,69,22,14
2022-11-27,41,12,69,21,15
2022-12-04,44,11,67,23,15
2022-12-11,43,13,74,23,16
2022-12-18,43,13,74,22,17
2022-12-25,49,16,83,25,17
2023-01-01,51,15,77,23,17
2023-01-08,48,17,73,26,17
2023-01-15,49,17,74,26,16
2023-01-22,52,15,78,31,19
2023-01-29,53,16,83,29,17
2023-02-05,53,14,77,27,17
2023-02-12,46,16,78,25,16
2023-02-19,50,15,77,25,15
2023-02-26,49,15,75,24,16
2023-03-05,46,13,78,27,16
2023-03-12,44,12,79,25,15
2023-03-19,45,11,82,24,16
2023-03-26,43,12,77,21,15
2023-04-02,44,15,80,23,16
2023-04-09,45,17,79,26,16
2023-04-16,46,20,81,25,16
2023-04-23,43,17,78,24,15
2023-04-30,43,19,76,23,15
2023-05-07,44,17,78,23,16
2023-05-14,42,15,78,23,14
2023-05-21,41,14,75,24,14
2023-05-28,40,14,77,22,15
2023-06-04,45,17,78,26,17
2023-06-11,45,15,78,25,13
2023-06-18,45,15,76,21,12
2023-06-25,47,16,77,23,14
2023-07-02,48,18,80,26,14
2023-07-09,49,17,79,28,15
2023-07-16,49,18,77,28,17
2023-07-23,49,18,80,28,18
2023-07-30,54,20,82,28,18
2023-08-06,51,18,78,29,20
2023-08-13,50,19,77,29,18
2023-08-20,50,18,80,28,18
2023-08-27,51,20,78,28,18
2023-09-03,51,19,78,25,16
2023-09-10,52,18,73,27,17
2023-09-17,52,18,73,28,17
2023-09-24,53,18,76,28,17
2023-10-01,53,17,73,24,16
2023-10-08,51,18,77,25,16
2023-10-15,54,16,73,27,18
2023-10-22,53,16,73,25,16
2023-10-29,49,16,71,23,15
2023-11-05,51,17,72,24,16
2023-11-12,55,17,74,25,18
2023-11-19,46,18,73,26,17
2023-11-26,48,21,75,23,15
2023-12-03,51,24,79,25,17
2023-12-10,52,20,80,25,17
2023-12-17,50,19,80,23,17
2023-12-24,58,23,96,28,19
2023-12-31,53,21,80,25,18
2024-01-07,55,18,80,25,19
2024-01-14,54,19,80,29,17
2024-01-21,56,20,82,29,15
2024-01-28,53,20,84,29,17
2024-02-04,52,19,85,30,18
2024-02-11,53,19,81,26,18
2024-02-18,54,20,85,26,18
2024-02-25,54,19,86,27,18
2024-03-03,51,19,82,26,18
2024-03-10,45,18,85,25,18
2024-03-17,50,18,97,24,18
2024-03-24,52,18,88,27,21
2024-03-31,58,24,90,27,19
2024-04-07,54,19,86,26,18
2024-04-14,51,20,86,26,18
2024-04-21,52,21,87,26,18
2024-04-28,51,18,85,24,18
2024-05-05,46,18,87,23,18
2024-05-12,46,17,87,28,18
2024-05-19,50,16,91,27,18
2024-05-26,45,16,86,24,17
2024-06-02,46,16,85,25,18
2024-06-09,48,19,85,27,18
2024-06-16,52,17,85,25,18
2024-06-23,54,18,86,24,19
2024-06-30,52,17,84,26,17
2024-07-07,54,18,88,27,19
2024-07-14,54,23,85,28,19
2024-07-21,62,22,93,31,20
2024-07-28,58,19,89,29,20
2024-08-04,62,20,92,33,21
2024-08-11,63,21,94,30,20
2024-08-18,61,22,91,31,22
2024-08-25,61,20,91,31,21
2024-09-01,63,22,91,30,21
2024-09-08,63,20,86,31,21
2024-09-15,60,20,88,29,19
2024-09-22,59,20,94,27,19
2024-09-29,58,21,89,28,19
2024-10-06,57,26,88,25,18
2024-10-13,59,26,90,28,20
2024-10-20,57,25,87,28,21
2024-10-27,51,21,84,26,19
2024-11-03,50,23,86,28,19
2024-11-10,56,23,91,28,21
2024-11-17,57,23,94,30,20
2024-11-24,55,23,86,26,19
2024-12-01,59,24,88,26,19
2024-12-08,57,24,89,28,20
2024-12-15,56,23,94,29,20
2024-12-22,63,29,98,28,14
2024-12-29,64,32,97,28,17
2025-01-05,60,28,92,25,19
2025-01-12,65,23,90,28,19
2025-01-19,59,27,94,29,23
2025-01-26,54,23,93,29,20
2025-02-02,62,20,96,27,20
2025-02-09,55,21,92,28,19
2025-02-16,58,23,100,27,22
2025-02-23,55,22,95,27,21
2025-03-02,60,22,90,28,20
2025-03-09,62,27,93,28,21
2025-03-16,59,26,94,27,22
2025-03-23,60,26,93,28,21
2025-03-30,61,23,92,27,21
2025-04-06,61,22,90,26,20
2025-04-13,58,19,93,26,21
2025-04-20,61,21,98,27,21
2025-04-27,55,19,89,25,19
2025-05-04,53,17,89,29,22
2025-05-11,54,17,89,32,20
2025-05-18,49,16,100,25,19
2025-05-25,47,16,94,24,21
